ID,sex,race,eyes
A81716,Male,Black,Brown
A81754,Male,Black,Brown
A81775,Male,Black,Brown
A81779,Male,White,Hazel
A81783,Male,Hispanic,Green
A81795,Male,Black,Brown
A81804,Male,Black,Brown
A81811,Male,Black,Brown
A81850,Male,White,Brown
A81855,Male,White,Blue
A81889,Male,Black,Brown
A81893,Male,Black,Brown
A81921,Male,Black,Brown
A81938,Male,Black,Brown
A81991,Male,Black,Brown
A82017,Male,Black,Brown
A82077,Male,Black,Brown
A82091,Male,Black,Brown
A82092,Male,Black,Brown
A82134,Male,White,Not Available
A82169,Male,Black,Brown
A82180,Male,Black,Black
A82195,Male,Black,Brown
A82197,Male,Black,Brown
A82254,Male,Black,Brown
A82291,Male,Black,Brown
A82300,Male,Black,Brown
A82318,Male,Black,Brown
A82333,Male,White,Brown
A82357,Male,Black,Brown
A82405,Male,Black,Brown
A82455,Male,White,Blue
A82458,Male,Black,Brown
A82498,Male,White,Green
A82509,Male,Black,Brown
A82547,Male,White,Hazel
A82558,Male,Black,Brown
A82579,Male,Black,Brown
A82580,Male,Black,Brown
A82598,Male,Black,Brown
A82609,Male,Black,Brown
A82642,Male,Black,Brown
A82721,Male,Black,Brown
A82768,Male,Black,Brown
A82771,Male,Black,Brown
A82774,Male,Black,Brown
A82791,Male,Black,Brown
A82847,Male,Black,Brown
A82875,Male,White,Blue
A82899,Male,Black,Brown
A82902,Male,Black,Brown
A82903,Male,White,Blue
A82914,Male,Black,Brown
A82944,Male,White,Blue
A82951,Male,Black,Brown
A82968,Male,White,Brown
A82978,Male,Black,Brown
A82981,Male,Black,Brown
A82994,Male,Black,Brown
A83003,Male,Black,Brown
A83031,Male,Black,Brown
A83037,Male,Black,Brown
A83069,Male,White,Hazel
A83084,Male,Black,Brown
A83094,Male,Black,Brown
A83101,Male,White,Green
A83118,Male,Black,Brown
A83163,Male,Black,Brown
A83165,Male,Black,Brown
A83166,Male,Black,Brown
A83208,Male,Black,Brown
A83241,Male,Hispanic,Brown
A83281,Male,Black,Brown
A83283,Male,White,Brown
A83284,Male,Black,Brown
A83293,Male,Black,Brown
A83302,Male,White,Gray
A83338,Male,Black,Brown
A83344,Male,White,Brown
A83405,Male,Black,Brown
A83427,Male,Black,Brown
A83437,Male,Black,Brown
A83508,Male,Hispanic,Brown
A83550,Male,Black,Brown
A83581,Male,Black,Brown
A83608,Male,Black,Brown
A83613,Male,Hispanic,Brown
A83622,Male,Black,Brown
A83630,Male,Black,Brown
A83664,Male,Black,Brown
A83673,Male,Black,Brown
A83711,Male,Black,Brown
A83722,Male,White,Brown
A83746,Male,Black,Brown
A83748,Male,Black,Brown
A83808,Male,Black,Brown
A83817,Male,Black,Brown
A83822,Male,Black,Brown
A83855,Male,Black,Brown
A83856,Male,Hispanic,Brown
A83907,Male,Black,Brown
A83913,Male,White,Brown
A83946,Male,Black,Brown
A85068,Male,Hispanic,Brown
A86028,Male,White,Blue
A86063,Male,Black,Brown
A86071,Male,White,Brown
A86099,Male,Black,Brown
A86226,Male,White,Blue
A86258,Male,White,Brown
A86277,Male,White,Brown
A87092,Female,Black,Black
A87116,Female,Black,Brown
A87167,Female,Black,Brown
A87634,Male,White,Brown
A87730,Male,White,Hazel
A87828,Male,Black,Brown
A87851,Male,White,Hazel
A87924,Male,Black,Black
A87981,Male,White,Brown
A87996,Male,White,Blue
A88000,Male,White,Blue
A88018,Male,Black,Brown
A88072,Male,White,Hazel
A88090,Male,White,Blue
A88099,Male,White,Brown
A88114,Male,White,Blue
A88180,Male,Black,Brown
A88255,Male,White,Blue
A88425,Male,White,Brown
A88447,Male,Black,Brown
A88460,Male,Black,Brown
A90087,Male,Black,Brown
A90145,Male,White,Brown
A90171,Male,Black,Brown
A90185,Male,Black,Brown
A90240,Male,Black,Brown
A90268,Male,Black,Brown
A90315,Male,White,Brown
A90333,Male,White,Brown
A90344,Male,Black,Brown
A90392,Male,Black,Brown
A90409,Male,White,Brown
A90420,Male,Black,Brown
A90478,Male,Black,Brown
A90485,Male,White,Hazel
A90506,Male,Black,Brown
A90510,Male,Black,Brown
A90513,Male,Black,Brown
A90532,Male,Black,Brown
A90577,Male,Black,Brown
A90592,Male,Black,Brown
A90608,Male,Black,Brown
A90663,Male,Black,Brown
A90706,Male,Black,Brown
A90720,Male,Black,Brown
A90733,Male,White,Blue
A90770,Male,Black,Brown
A90846,Male,Black,Brown
A90860,Male,Black,Brown
A90868,Male,White,Hazel
A90881,Male,Black,Brown
A90903,Male,Black,Brown
A90911,Male,Black,Brown
A90937,Male,Black,Brown
A90949,Male,Black,Brown
A90976,Male,Black,Brown
A90986,Male,Black,Brown
A91016,Male,Black,Brown
A91040,Male,Black,Brown
A91041,Male,Black,Brown
A91082,Male,Black,Brown
A91177,Male,Black,Brown
A91213,Male,Black,Brown
A91250,Male,Black,Brown
A91256,Male,White,Green
A91307,Male,Black,Brown
A91362,Male,Black,Brown
A91375,Male,Black,Brown
A91381,Male,Black,Brown
A91399,Male,Black,Brown
A91433,Male,White,Brown
A91437,Male,Black,Brown
A91478,Male,White,Blue
A91487,Male,Black,Brown
A91495,Male,Black,Black
A91509,Male,Black,Brown
A91518,Male,Black,Brown
A91584,Male,Black,Brown
A91609,Male,Black,Brown
A91619,Male,Black,Brown
A91687,Male,Hispanic,Brown
A91717,Male,Black,Brown
A91769,Male,Black,Brown
A91775,Male,Black,Brown
A91779,Male,Hispanic,Brown
A91784,Male,Black,Brown
A91791,Male,Hispanic,Brown
A91793,Male,Black,Brown
A91814,Male,Hispanic,Brown
A91815,Male,Black,Brown
A91837,Male,Black,Brown
A91846,Male,Black,Brown
A91848,Male,White,Hazel
A91885,Male,White,Brown
A91970,Male,Black,Brown
A91992,Male,Black,Brown
A91993,Male,Black,Brown
A92021,Male,Hispanic,Brown
A92033,Male,White,Blue
A92080,Male,Black,Brown
A92120,Male,Black,Brown
A92127,Male,Black,Brown
A92146,Male,Black,Brown
A92178,Male,Black,Brown
A92207,Male,White,Hazel
A92240,Male,White,Blue
A92275,Male,White,Green
A92280,Male,Black,Brown
A92299,Male,Black,Brown
A92318,Male,Black,Brown
A92381,Male,Black,Brown
A92410,Male,White,Blue
A92424,Male,Black,Brown
A92426,Male,Black,Brown
A92428,Male,Black,Brown
A92472,Male,Black,Brown
A92474,Male,Black,Brown
A92482,Male,Black,Brown
A92551,Male,Black,Brown
A92579,Male,Black,Brown
A92623,Male,White,Brown
A92661,Male,Black,Brown
A92662,Male,Black,Brown
A92750,Male,White,Blue
A92800,Male,Black,Brown
A92816,Male,Hispanic,Brown
A92828,Male,Black,Brown
A92877,Male,Black,Brown
A92888,Male,Black,Brown
A92903,Male,Black,Brown
A92929,Male,Black,Brown
A92942,Male,Black,Brown
A92945,Male,Black,Brown
A92974,Male,Black,Brown
A93015,Male,Black,Brown
A93033,Male,Black,Brown
A93039,Male,Black,Brown
A93053,Male,Black,Brown
A93067,Male,Black,Brown
A93071,Male,Black,Brown
A93080,Male,Black,Brown
A93094,Male,Black,Brown
A93108,Male,White,Hazel
A93136,Male,Black,Brown
A93184,Male,White,Brown
A93199,Male,Hispanic,Brown
A93211,Male,Hispanic,Brown
A93232,Male,White,Brown
A93248,Male,White,Blue
A93251,Male,White,Hazel
A93266,Male,Black,Brown
A93267,Male,Black,Brown
A93270,Male,Black,Brown
A93275,Male,Black,Brown
A93280,Male,White,Brown
A93333,Male,Black,Brown
A93339,Male,Black,Brown
A93421,Male,Black,Brown
A93441,Male,Black,Brown
A93480,Male,White,Brown
A93489,Male,Black,Black
A93501,Male,Black,Brown
A93524,Male,Black,Brown
A93553,Male,Black,Brown
A93570,Male,Black,Hazel
A93573,Male,Black,Brown
A93601,Male,Black,Brown
A93650,Male,Black,Brown
A93664,Male,Black,Brown
A93676,Male,Black,Brown
A93696,Male,Black,Brown
A93699,Male,Black,Brown
A93734,Male,Black,Brown
A93747,Male,Black,Brown
A93754,Male,Black,Brown
A93755,Male,Black,Brown
A95046,Male,Black,Brown
A96043,Male,Black,Brown
A96044,Male,White,Brown
A96072,Male,White,Blue
A96092,Male,White,Blue
A96128,Male,Black,Brown
A96174,Male,White,Blue
A96180,Male,Black,Brown
A96214,Male,Black,Brown
A96270,Male,White,Brown
A97512,Male,Black,Brown
A97519,Male,Black,Brown
A97532,Male,White,Blue
A97536,Male,White,Blue
A97665,Male,White,Blue
A97723,Male,White,Green
A97772,Male,White,Hazel
A97785,Male,White,Blue
A97801,Male,White,Brown
A97808,Male,White,Brown
A97828,Male,White,Brown
A97884,Male,White,Blue
A97885,Male,White,Blue
A97917,Male,White,Green
A98155,Male,White,Brown
A98206,Male,Black,Brown
A98222,Male,White,Hazel
A98232,Male,White,Blue
A98333,Male,White,Hazel
A98347,Male,White,Brown
B00002,Male,Black,Brown
B00018,Male,Black,Brown
B00040,Male,Black,Brown
B00045,Male,Black,Brown
B00050,Male,White,Brown
B00077,Male,Black,Brown
B00094,Male,Black,Brown
B00118,Male,Black,Brown
B00124,Male,Black,Brown
B00131,Male,Hispanic,Brown
B00149,Male,Black,Brown
B00160,Male,Black,Brown
B00161,Male,Black,Brown
B00203,Male,Black,Brown
B00206,Male,Black,Brown
B00208,Male,Black,Brown
B00217,Male,Black,Brown
B00230,Male,Black,Brown
B00255,Male,Black,Brown
B00270,Male,Black,Brown
B00284,Male,Black,Brown
B00291,Male,White,Hazel
B00296,Male,White,Brown
B00298,Male,Black,Brown
B00315,Male,Black,Brown
B00327,Male,Black,Brown
B00347,Male,Black,Brown
B00358,Male,Black,Brown
B00368,Male,Black,Brown
B00375,Male,Black,Brown
B00387,Male,Black,Brown
B00398,Male,Asian,Brown
B00447,Male,Black,Brown
B00466,Male,Black,Brown
B00481,Male,Black,Brown
B00489,Male,Black,Brown
B00492,Male,Black,Brown
B00496,Male,Black,Brown
B00499,Male,Black,Brown
B00510,Male,Black,Brown
B00528,Male,White,Brown
B00538,Male,White,Blue
B00562,Male,White,Green
B00573,Male,White,Brown
B00578,Male,Black,Brown
B00591,Male,Hispanic,Brown
B00592,Male,Black,Brown
B00611,Male,Black,Brown
B00613,Male,Black,Brown
B00618,Male,Black,Brown
B00627,Male,Black,Brown
B00632,Male,Black,Brown
B00643,Male,Black,Brown
B00651,Male,Black,Brown
B00659,Male,Black,Brown
B00663,Male,Hispanic,Brown
B00691,Male,White,Brown
B00708,Male,Black,Black
B00719,Male,Black,Brown
B00727,Male,Hispanic,Brown
B00732,Male,Black,Brown
B00734,Male,Black,Brown
B00750,Male,Black,Brown
B00778,Male,Black,Brown
B00780,Male,White,Blue
B00796,Male,Hispanic,Brown
B00804,Male,Black,Brown
B00830,Male,Black,Brown
B00832,Male,Black,Brown
B00838,Male,White,Brown
B00845,Male,Black,Brown
B00846,Male,Black,Brown
B00847,Male,White,Blue
B00856,Male,Hispanic,Brown
B00860,Male,Black,Brown
B00862,Male,Black,Brown
B00892,Male,Black,Brown
B00914,Male,Black,Brown
B00927,Male,White,Blue
B00944,Male,White,Brown
B00951,Male,Black,Brown
B00956,Male,White,Brown
B00964,Male,Black,Brown
B00984,Male,Black,Brown
B01000,Male,Black,Brown
B01016,Male,Black,Brown
B01021,Male,Black,Brown
B01031,Male,Black,Brown
B01035,Male,Black,Brown
B01042,Male,Black,Brown
B01049,Male,Black,Brown
B01092,Male,Hispanic,Brown
B01098,Male,Black,Brown
B01101,Male,Black,Brown
B01103,Male,Black,Brown
B01127,Male,Black,Brown
B01131,Male,Hispanic,Brown
B01140,Male,Black,Brown
B01148,Male,Black,Brown
B01151,Male,White,Blue
B01157,Male,Black,Brown
B01158,Male,Black,Brown
B01160,Male,Black,Brown
B01196,Male,Black,Brown
B01215,Male,Black,Brown
B01240,Male,Black,Brown
B01243,Male,Hispanic,Brown
B01266,Male,Black,Brown
B01272,Male,Black,Brown
B01276,Male,White,Hazel
B01291,Male,White,Hazel
B01299,Male,Black,Brown
B01303,Male,Black,Brown
B01331,Male,Black,Brown
B01334,Male,Black,Brown
B01349,Male,Black,Brown
B01351,Male,Black,Brown
B01357,Male,Black,Brown
B01358,Male,Black,Brown
B01370,Male,Black,Brown
